"Name","Pokedex Number","Type1","Type2","Classification","Height (m)","Weight (kg)","Abilities","Generation","Legendary Status","Ecology"
"Crobat","169","Poison","Flying","Bat Pokémon","1.8","75","Inner-focus, Infiltrator","2","No","Crobat typically inhabit caves and dark forests, where they can fly and navigate with ease. They are nocturnal creatures and feed on the blood of Pokémon and occasionally humans. Crobat live in colonies with strong social structures."
"Chinchou","170","Water","Electric","Angler Pokémon","0.5","12","Volt-absorb, Illuminate, Water-absorb","2","No","Chinchou prefer to inhabit deep ocean waters, where they use their glowing antennae to attract prey. They feed on small fish and aquatic invertebrates. Chinchou are solitary creatures, often seen swimming alone in the dark depths."
"Lanturn","171","Water","Electric","Light Pokémon","1.2","22.5","Volt-absorb, Illuminate, Water-absorb","2","No","Lanturn are found in deep ocean environments, using their bright bioluminescence to navigate and attract prey. They feed on fish, crustaceans, and other marine organisms. Lanturn are solitary creatures, preferring the isolation of the deep sea."
"Pichu","172","Electric","","Tiny Mouse Pokémon","0.3","2","Static, Lightning-rod","2","No","Pichu typically lives in forests and urban areas, often near human settlements. They feed on berries and other plant matter. Pichu are very social and love to be around others and are usually found together."
"Cleffa","173","Fairy","","Star Shape Pokémon","0.3","3","Cute-charm, Magic-guard, Friend-guard","2","No","Cleffa are found in mountainous regions, especially near meteor crash sites. They are said to feed on starlight and dust particles in the air. Cleffa are typically seen in groups, often dancing and playing together under the night sky."
"Igglybuff","174","Normal","Fairy","Balloon Pokémon","0.3","1","Cute-charm, Competitive, Friend-guard","2","No","Igglybuff inhabit grassy plains and meadows. They feed on berries and plant nectar. These Pokemon love to sing and are not afraid to do it in front of people. Their sociable nature makes them comfortable with new situations and strangers."
"Togepi","175","Fairy","","Spike Ball Pokémon","0.3","1.5","Hustle, Serene-grace, Super-luck","2","No","Togepi are usually found in peaceful and secluded locations, often near forests or meadows. They feed on nutrients absorbed from the ground through their feet. Togepi are considered to be symbols of good luck and are often kept as pets."
"Togetic","176","Fairy","Flying","Happiness Pokémon","0.6","3.2","Hustle, Serene-grace, Super-luck","2","No","Togetic inhabits forests and mountainous regions, preferring areas with clean air. They feed on berries and seeds found in the forest. Togetic are known to bring happiness and are attracted to kind-hearted people."
"Natu","177","Psychic","Flying","Tiny Bird Pokémon","0.2","2","Synchronize, Early-bird, Magic-bounce","2","No","Natu live in arid regions, often found in savannas and deserts. They feed on insects and seeds. Solitary and reclusive, Natu tend to avoid human contact and spend much of their time perched atop trees."
"Xatu","178","Psychic","Flying","Mystic Pokémon","1.5","15","Synchronize, Early-bird, Magic-bounce","2","No","Xatu typically reside in tropical and subtropical forests, often building nests high in the trees. They are herbivorous, consuming fruits and nuts. Solitary creatures, Xatu are known for their calm and meditative nature."
"Mareep","179","Electric","","Wool Pokémon","0.6","7.8","Static, Plus","2","No","Mareep are typically found in grassy fields and meadows, often near farms or ranches. They feed on grass and other vegetation. Mareep are docile and gentle creatures, often herded by farmers for their wool."
"Flaaffy","180","Electric","","Wool Pokémon","0.8","13.3","Static, Plus","2","No","Flaaffy typically inhabits grassy plains and meadows. They are docile and tend to graze. They are docile and friendly, often living near human settlements."
"Ampharos","181","Electric","","Light Pokémon","1.4","61.5","Static, Plus","2","No","Ampharos are typically found in grasslands and savannas where they graze on the local vegetation. These Pokemon are solitary creatures that prefer to live alone. They are known to be calm and gentle, and often enjoy basking in the sunlight."
"Bellossom","182","Grass","","Flower Pokémon","0.4","5.8","Chlorophyll, Healer","2","No","Bellossom often lives in meadows, gathering in large numbers. They are usually active during the day, moving with the sun. These Pokémon have a close relationship, usually living in groups or in pairs, usually seen to be joyful and energetic."
"Marill","183","Water","Fairy","Aqua Mouse Pokémon","0.4","8.5","Thick-fat, Huge-power, Sap-sipper","2","No","Marill tend to live near ponds and streams, typically found in grasslands and forests near water sources. They live in groups. These Pokemon are known to be curious and playful."
"Azumarill","184","Water","Fairy","Aqua Rabbit Pokémon","0.8","28.5","Thick-fat, Huge-power, Sap-sipper","2","No","Azumarill live in and around freshwater rivers and lakes. They live in small groups, generally active during the day. These Pokémon are known to be caring and friendly with each other."
"Sudowoodo","185","Rock","","Imitation Pokémon","1.2","38","Sturdy, Rock-head, Rattled","2","No","Sudowoodo are most commonly found on roadsides and within rocky areas. They tend to live solitary. The Pokemon are known to be shy and reserved."
"Politoed","186","Water","","Frog Pokémon","1.1","33.9","Water-absorb, Damp, Drizzle","2","No","Politoed lives in ponds and lakes, primarily tropical locations. Usually living in groups. They are known for being charismatic and sociable among themselves and others."
"Hoppip","187","Grass","Flying","Cottonweed Pokémon","0.4","0.5","Chlorophyll, Leaf-guard, Infiltrator","2","No","Hoppip are commonly found in fields and meadows, using the wind to float from place to place. They live alone but sometimes gathers. It's personality are carefree and optimistic and enjoys traveling with the breeze."
"Skiploom","188","Grass","Flying","Cottonweed Pokémon","0.6","1","Chlorophyll, Leaf-guard, Infiltrator","2","No","Skiploom is commonly found in grasslands and meadows with flowers. Usually live in small groups. The Pokemon tend to be positive and cheerful, enjoying sunbathing."
"Jumpluff","189","Grass","Flying","Cottonweed Pokémon","0.8","3","Chlorophyll, Leaf-guard, Infiltrator","2","No","Jumpluff lives in open fields and meadows. Usually live in big groups. Jumpluff are playful and peaceful, carried by the wind in groups. When it finds wind it enjoys, it will start creating families there."
"Aipom","190","Normal","","Long Tail Pokémon","0.8","11.5","Run-away, Pickup, Skill-link","2","No","Aipom commonly lives in forests, found in temperate or tropical regions. Usually live alone. They have playful, and mischievous behaviour and have a tendency to get into trouble due to their curiosity."
"Sunkern","191","Grass","","Seed Pokémon","0.3","1.8","Chlorophyll, Solar-power, Early-bird","2","No","Sunkern live in grassy fields with few trees and shrubs and in warm and sunny climates. They usually live in solitude. Sunkern are energetic during the day and are seen to be weak because of this trait."
"Sunflora","192","Grass","","Sun Pokémon","0.8","8.5","Chlorophyll, Solar-power, Early-bird","2","No","Sunflora live in sunny, open grasslands, seeking direct sunlight and absorbing its energy. Generally live alone or in small groups and they have a calm, cheerful nature."
"Yanma","193","Bug","Flying","Clear Wing Pokémon","1.2","38","Speed-boost, Compound-eyes, Frisk","2","No","Yanma often inhabit wetland environments near lakes and rivers. Yanma is solitary but also seen as living in small colonies in warmer months and they show a bold nature when hunting for their prey."
"Wooper","194","Water","Ground","Water Fish Pokémon","0.4","8.5","Damp, Water-absorb, Unaware","2","No","Wooper are found in ponds and rivers with muddy beds. They live solitary lives and are passive creatures, burying themselves in mud in the wintertime."
"Quagsire","195","Water","Ground","Water Fish Pokémon","1.4","75","Damp, Water-absorb, Unaware","2","No","Quagsire inhabit the edges of ponds and rivers with muddy or marshy banks. Living either solitary or in pairs. Quagsire are calm and can be clumsy at times due to their lack of awareness, though they tend to be passive."
"Espeon","196","Psychic","","Sun Pokémon","0.9","26.5","Synchronize, Magic-bounce","2","No","Espeon are crepuscular Pokémon, most active during the twilight hours of dawn and dusk. They are highly intelligent and possess strong psychic abilities, using them to sense the emotions of others and predict the weather. Espeon prefer to live in urban areas, often forming close bonds with their trainers."
"Umbreon","197","Dark","","Moonlight Pokémon","1","27","Synchronize, Inner-focus","2","No","Umbreon are nocturnal Pokémon that thrive in dark environments. They are calm and collected, often found meditating in the moonlight. The rings on their bodies glow when exposed to the moon's energy, a process used for communication with other Umbreon. They are solitary creatures, only gathering to mate."
"Murkrow","198","Dark","Flying","Darkness Pokémon","0.5","2.1","Insomnia, Super-luck, Prankster","2","No","Murkrow are mischievous Pokémon that are attracted to shiny objects, often stealing them and hiding them in their nests. They are social creatures, forming large flocks that roam urban areas at night. Murkrow are known to bring misfortune, so people often avoid them."
"Slowking","199","Water","Psychic","Royal Pokémon","2","79.5","Oblivious, Own-tempo, Regenerator","2","No","Slowking live near bodies of water, particularly in coastal areas. They are highly intelligent, possessing the ability to learn and understand human languages. Slowking are calm and thoughtful Pokémon, often spending their days pondering complex problems."
"Misdreavus","200","Ghost","","Screech Pokémon","0.7","1","Levitate","2","No","Misdreavus are nocturnal Pokémon that enjoy playing pranks on unsuspecting people. They are mischievous and enjoy scaring others with their eerie cries. Misdreavus are solitary creatures, often found haunting abandoned buildings and forests."
"Unown","201","Psychic","","Symbol Pokémon","0.5","5","Levitate","2","No","Unown reside in ancient ruins and caves, where they are believed to hold a connection to other dimensions. They are solitary Pokémon, rarely seen interacting with each other. Unown are mysterious and enigmatic creatures, with little known about their true purpose."
"Wobbuffet","202","Psychic","","Patient Pokémon","1.3","28.5","Shadow-tag, Telepathy","2","No","Wobbuffet are gentle and patient Pokémon that prefer to avoid conflict. They are often found in forests and caves, where they spend their days quietly reflecting. Wobbuffet are loyal to their trainers and will protect them from harm at all costs."
"Girafarig","203","Normal","Psychic","Long Neck Pokémon","1.5","41.5","Inner-focus, Early-bird, Sap-sipper","2","No","Girafarig are herbivores that inhabit savannas and grasslands. They are social creatures, living in herds with a strict social hierarchy. The tail on their body has a separate brain that can react to threats independently, providing a defense mechanism."
"Pineco","204","Bug","","Bagworm Pokémon","0.6","7.2","Sturdy, Overcoat","2","No","Pineco live in forests, camouflaging themselves as pine cones to avoid predators. They are solitary Pokémon, spending their days hanging from tree branches. Pineco cover themselves with a sticky substance that hardens over time, providing protection from harm."
"Forretress","205","Bug","Steel","Bagworm Pokémon","1.2","125.8","Sturdy, Overcoat","2","No","Forretress live in mountainous areas, creating nests inside caves. They are solitary Pokémon, rarely seen interacting with each other. Forretress are slow and deliberate, taking their time to carefully assess their surroundings. They eat metal ores, which hardens their bodies."
"Dunsparce","206","Normal","","Land Snake Pokémon","1.5","14","Serene-grace, Run-away, Rattled","2","No","Dunsparce live in caves and dark forests, spending most of their time underground. They are solitary Pokémon, rarely seen in groups. Dunsparce are timid and shy, preferring to avoid contact with humans and other Pokémon. They typically eat plant roots and berries."
"Gligar","207","Ground","Flying","Fly Scorpion Pokémon","1.1","64.8","Hyper-cutter, Sand-veil, Immunity","2","No","Gligar live in mountainous areas, gliding between rocky cliffs in search of food. They are nocturnal predators, feeding on small rodents and insects. Gligar are social creatures, living in small packs led by a dominant individual."
"Steelix","208","Steel","Ground","Iron Snake Pokémon","9.2","400","Rock-head, Sturdy, Sheer-force","2","No","Steelix live in deep underground caves and tunnels, where they spend their lives consuming iron ore. They are solitary Pokémon, rarely seen interacting with each other. Steelix are aggressive and territorial, attacking any intruders that venture into their domain."
"Snubbull","209","Fairy","","Fairy Pokémon","0.6","7.8","Intimidate, Run-away, Rattled","2","No","Snubbull live in urban areas, often found near humans. They are social creatures, forming close bonds with their trainers. Snubbull are friendly and affectionate, despite their intimidating appearance."
"Granbull","210","Fairy","","Fairy Pokémon","1.4","48.7","Intimidate, Quick-feet, Rattled","2","No","Granbull live in mountainous areas, where they roam in search of food. They are solitary Pokémon, rarely seen in groups. Granbull are territorial and aggressive, using their powerful jaws to defend their territory from intruders."
"Qwilfish","211","Water","Poison","Balloon Pokémon","0.5","3.9","Poison-point, Swift-swim, Intimidate","2","No","Qwilfish inhabits oceans and seas, often found near coastal areas. It is a solitary Pokémon, not usually seen in groups. Its diet consists mainly of small fish and crustaceans. Qwilfish is known for its prickly exterior and defensive nature. It inflates its body and shoots poisonous quills when threatened."
"Scizor","212","Bug","Steel","Pincer Pokémon","1.8","118","Swarm, Technician, Light-metal","2","No","Scizor is commonly found in forests and grasslands. They are solitary creatures, preferring to live and hunt alone. Their diet consists primarily of small insects and occasionally other Bug-type Pokémon. Scizor are known for their tactical intelligence, battling with the precision of a trained swordsman."
"Shuckle","213","Bug","Rock","Mold Pokémon","0.6","20.5","Sturdy, Gluttony, Contrary","2","No","Shuckle typically lives in caves and rocky areas where it can find a stable environment. It is solitary and spends its days collecting berries and storing them inside its shell. These berries ferment into a nutritious juice, which Shuckle consumes slowly. This Pokémon is known for its extremely high defensive stats, making it nearly impenetrable."
"Heracross","214","Bug","Fighting","Single Horn Pokémon","1.5","54","Swarm, Guts, Moxie","2","No","Heracross lives in forests, feeding on tree sap and fruit. It is known to be solitary, although during mating season, individuals might gather. This Pokémon displays a strong and determined personality, often battling fiercely to protect its territory or find food."
"Sneasel","215","Dark","Ice","Sharp Claw Pokémon","0.9","28","Inner-focus, Keen-eye, Pickpocket","2","No","Sneasel lives in cold, mountainous regions. They hunt in packs, preying on bird Pokémon eggs, as well as small rodents and insects. They have a cunning and sly nature."
"Teddiursa","216","Normal","","Little Bear Pokémon","0.6","8.8","Pickup, Quick-feet, Honey-gather","2","No","Teddiursa live in forests and mountainous areas, where they primarily forage for food. It is a solitary Pokemon except for the young, which stay with their mothers until they are mature. Teddiursa loves honey, which it often collects from Combee hives. Teddiursa are cute Pokémon with friendly and playful temperaments."
"Ursaring","217","Normal","","Hibernator Pokémon","1.8","125.8","Guts, Quick-feet, Unnerve","2","No","Ursaring dwells in deep forests where they forage for food. These Pokémon live a solitary life and are very protective of their territory. They feed on fruits, berries, fish, and occasionally small Pokémon. Ursaring have aggressive and territorial tendencies."
"Slugma","218","Fire","","Lava Pokémon","0.7","35","Magma-armor, Flame-body, Weak-armor","2","No","Slugma are usually found near volcanoes and hot springs, feeding on volcanic minerals and other heat-related sources. These Pokémon typically live alone or in small clusters around heat sources, being largely solitary in nature. They tend to be lethargic, moving slowly."
"Magcargo","219","Fire","Rock","Lava Pokémon","0.8","55","Magma-armor, Flame-body, Weak-armor","2","No","Magcargo makes its home near volcanic craters and lava flows. They feed on rocks and minerals found in these volcanic areas. They are solitary in nature. Magcargo is a relatively calm and slow-moving creature."
"Swinub","220","Ice","Ground","Pig Pokémon","0.4","6.5","Oblivious, Snow-cloak, Thick-fat","2","No","Swinub are commonly found in cold, snowy regions, using their sensitive snouts to locate food under the snow. They travel in herds for warmth and protection. They dig for roots, berries, and occasionally small insects. Swinub have a keen sense of smell that helps them to navigate and find food."
"Piloswine","221","Ice","Ground","Swine Pokémon","1.1","55.8","Oblivious, Snow-cloak, Thick-fat","2","No","Piloswine lives in cold, snowy environments, where it digs in the snow with its snout to find food. Piloswine travel in herds for warmth and protection. It is known for its thick coat of fur and tusks. They use their tusks to dig for roots and other plant matter. Piloswine can have short-tempered and impulsive personalities."
"Corsola","222","Water","Rock","Coral Pokémon","0.6","5","Hustle, Natural-cure, Regenerator","2","No","Corsola inhabits warm, shallow ocean waters where coral reefs are plentiful. It often gathers in groups, creating vibrant, living reefs. Corsola feeds on plankton and nutrients found in seawater. Its gentle nature makes it a favorite among divers, but pollution can harm them."
"Remoraid","223","Water","","Jet Pokémon","0.6","12","Hustle, Sniper, Moody","2","No","Remoraid can be found in oceans and seas, commonly attaching itself to larger Pokémon like Mantine for protection and to scavenge food. It is often seen in groups around its host. Remoraid filter-feed on plankton and small particles in the water. The Pokemon tend to have a symbiotic relationship with other Pokemon, providing protection to their host and scavenging food."
"Octillery","224","Water","","Jet Pokémon","0.9","28.5","Suction-cups, Sniper, Moody","2","No","Octillery lives in underwater caves and reefs. Usually solitary, they are very territorial and intelligent Pokémon. They eat crustaceans, fish and other water Pokemon. They have crafty personality traits."
"Delibird","225","Ice","Flying","Delivery Pokémon","0.9","16","Vital-spirit, Hustle, Insomnia","2","No","Delibird typically lives in cold, snowy regions, often nesting on icy cliffs. They live in small groups and have a cooperative nature. They store food in their tail sack, primarily berries and seeds. Delibird are known for sharing its food with those in need, even humans."
"Mantine","226","Water","Flying","Kite Pokémon","2.1","220","Swift-swim, Water-absorb, Water-veil","2","No","Mantine are commonly found in warm ocean waters, often gliding near the surface. They feed on plankton and small fish. They are social creatures and are often seen swimming in groups, occasionally associating with schools of Remoraid for protection."
"Skarmory","227","Steel","Flying","Armor Bird Pokémon","1.7","50.5","Keen-eye, Sturdy, Weak-armor","2","No","Skarmory inhabit mountainous regions with rocky terrain, using their sharp wings to navigate narrow passages. They primarily feed on iron-rich rocks and minerals. Skarmory are solitary hunters, often seen patrolling their territory from high vantage points."
"Houndour","228","Dark","Fire","Dark Pokémon","0.6","10.8","Early-bird, Flash-fire, Unnerve","2","No","Houndour typically reside in dark forests and rocky areas, where they hunt in packs. They communicate with each other using barks and howls. Houndour feed on small mammals and have a playful yet mischievous personality, often engaging in minor acts of vandalism."
"Houndoom","229","Dark","Fire","Dark Pokémon","1.4","35","Early-bird, Flash-fire, Unnerve","2","No","Houndoom prefer to live in volcanic regions and desolate landscapes, thriving in harsh conditions. They are nocturnal hunters, preying on larger Pokémon. Houndoom are known for their menacing appearance and cruel behavior, often seen as symbols of fear and darkness."
"Kingdra","230","Water","Dragon","Dragon Pokémon","1.8","152","Swift-swim, Sniper, Damp","2","No","Kingdra can be found in deep underwater caves and ocean trenches. They are solitary Pokémon, defending their territory aggressively. Kingdra feed on marine vegetation and small fish. They are known for their graceful swimming and powerful hydrokinetic abilities."
"Phanpy","231","Ground","","Long Nose Pokémon","0.5","33.5","Pickup, Sand-veil","2","No","Phanpy typically lives in grasslands and savannahs, forming herds with other Phanpy. They are herbivorous, consuming grasses and roots. Phanpy have a playful and energetic nature, enjoying activities like rolling down hills and squirting water with their trunks."
"Donphan","232","Ground","","Armor Pokémon","1.1","120","Sturdy, Sand-veil","2","No","Donphan reside in rocky mountains and arid landscapes, where they use their sturdy bodies to navigate challenging terrains. They feed on tough vegetation and mineral deposits. Donphan are solitary creatures, defending their territories fiercely. They have a calm demeanor but can become aggressive if provoked."
"Porygon2","233","Normal","","Virtual Pokémon","0.6","32.5","Trace, Download, Analytic","2","No","Porygon2 is usually found in technological environments such as research labs, digital spaces, and computer networks, where they are primarily monitored by their creators. Lacking natural needs, it thrives on processing data and learning. As a result of its artificial creation, Porygon2 is mostly kept solitary, and is known to exhibit docile behavior, often curious about its surroundings."
"Stantler","234","Normal","","Big Horn Pokémon","1.4","71.2","Intimidate, Frisk, Sap-sipper","2","No","Stantler live in forests and meadows, forming herds during mating season. They are herbivores, grazing on grasses, leaves, and berries. Stantler possess hypnotic powers that they use for defense and communication. They are generally docile, but become skittish when threatened."
"Smeargle","235","Normal","","Painter Pokémon","1.2","58","Own-tempo, Technician, Moody","2","No","Smeargle prefer urban areas and art studios, where they find inspiration for their paintings. They are omnivorous, consuming a variety of foods found in urban settings. Smeargle are solitary artists, expressing themselves through colorful graffiti-like markings on walls and rocks. Their personalities are diverse, reflecting their ever-changing artistic styles."
"Tyrogue","236","Fighting","","Scuffle Pokémon","0.7","21","Guts, Steadfast, Vital-spirit","2","No","Tyrogue live in mountainous regions where they train, often challenging other strong Pokemon or training alongside trainers to hone their martial art skills. They eat high protein diet to maintain a muscular physique. They are solitary fighters that always seeking battles to improve."
"Hitmontop","237","Fighting","","Handstand Pokémon","1.4","48","Intimidate, Technician, Steadfast","2","No","Hitmontop can be found training in forests or in martial art dojos. They train everyday perfecting their fighting skills, and consume a very high-protein diet. They're quite solitary always striving for improvement and seeking fair battles."
"Smoochum","238","Ice","Psychic","Kiss Pokémon","0.4","6","Oblivious, Forewarn, Hydration","2","No","Smoochum are found primarily near hot springs in colder regions, they stay together and rely on a diet of berries to avoid predation, and often squabble amongst themselves to show dominance within their group."
"Elekid","239","Electric","","Electric Pokémon","0.6","23.5","Static, Vital-spirit","2","No","Elekid live near power plants, feeding on electricity through the wires and conduits near the plant. They stay in small groups where they compete to be the one to receive the biggest electrical shock, leading to conflicts that are dangerous for those nearby."
"Magby","240","Fire","","Live Coal Pokémon","0.7","21.4","Flame-body, Vital-spirit","2","No","Magby is typically found near volcanos. Magby tend to eat soft to medium hard volcanic rock to aid in their digestion. Magby stay in groups, as they are usually solitary and do not interact often."
"Miltank","241","Normal","","Milk Cow Pokémon","1.2","75.5","Thick-fat, Scrappy, Sap-sipper","2","No","Miltank are typically found in grassy plains and farmlands, where they graze on fresh grass and produce nutrient-rich milk. They are social creatures, often living in small herds. Miltank are known for their gentle nature and are often cared for by humans for their milk, which is a key component of many health remedies."
"Blissey","242","Normal","","Happiness Pokémon","1.5","46.8","Natural-cure, Serene-grace, Healer","2","No","Blissey inhabit serene and secluded areas such as forests and meadows, where they can freely express their caring nature. They are gentle and compassionate Pokemon, known for their ability to share happiness and healing. Blissey are typically solitary, but they are always ready to help those in need, offering them special Blissey eggs to promote well-being."
"Raikou","243","Electric","","Thunder Pokémon","1.9","178","Pressure, Inner-focus","2","Yes","Raikou is a nomadic Pokémon that roams the grasslands and savannas in search of thunderstorms, from which it draws its immense power. Raikou are typically solitary, known for their intense speed and unpredictable nature. They are fiercely independent and prefer to avoid human contact, only revealing themselves when a powerful storm is brewing."
"Entei","244","Fire","","Volcano Pokémon","2.1","198","Pressure, Inner-focus","2","Yes","Entei are typically found in volcanic regions and mountainous terrain, where they draw strength from the Earth's core. They are solitary creatures with fiery tempers, often creating eruptions and intense heat wherever they roam. Entei embodies the passion of magma, and its roar can trigger volcanic activity."
"Suicune","245","Water","","Aurora Pokémon","2","187","Pressure, Inner-focus","2","Yes","Suicune travels tirelessly around the world, purifying polluted water sources and ensuring balance in aquatic ecosystems. They are solitary and often found near pristine lakes or rivers, where they seem to reflect on their purpose. Suicune's elegant movements and calm demeanor make it a revered figure among those who respect nature."
"Larvitar","246","Rock","Ground","Rock Skin Pokémon","0.6","72","Guts, Sand-veil","2","No","Larvitar typically live in mountainous regions, consuming soil and rocks to grow stronger. They are solitary and have a tough outer shell, which protects them from predators. Larvitar has a voracious appetite and can eat its weight in soil daily, preparing it for its evolution into Pupitar."
"Pupitar","247","Rock","Ground","Hard Shell Pokémon","1.2","152","Shed-skin","2","No","Pupitar create a hard, protective cocoon within rocky areas, often found deep within caves. They are solitary during this pupal stage, building pressure inside their shells to prepare for the next evolution. Pupitar is a resilient Pokemon, capable of withstanding extreme conditions while it undergoes its metamorphosis."
"Tyranitar","248","Rock","Dark","Armor Pokémon","2","202","Sand-stream, Unnerve","2","No","Tyranitar inhabit mountainous regions and desolate landscapes, where they claim territories with their immense power. They are solitary Pokemon, known for their aggression and tendency to destroy the environment. Tyranitar are fiercely territorial and will fiercely protect their domain from intruders."
"Lugia","249","Psychic","Flying","Diving Pokémon","5.2","216","Pressure, Multiscale","2","Yes","Lugia dwell deep in the ocean's trenches to avoid causing storms, only surfacing occasionally during calm weather. They are typically solitary and have a calming presence that can quell conflicts. Lugia's habitat reflects its role as a guardian of the seas and is rarely seen by humans."
"Ho-oh","250","Fire","Flying","Rainbow Pokémon","3.8","199","Pressure, Regenerator","2","Yes","Ho-Oh typically inhabits the skies above mountains and can only be seen by pure-hearted trainers. They are solitary creatures associated with hope and rebirth, bringing life and color to their surroundings. Ho-Oh are revered as symbols of peace and renewal and are said to bring good fortune to those who witness their magnificent plumage."
"Celebi","251","Psychic","Grass","Time Travel Pokémon","0.6","5","Natural-cure","2","Yes","Celebi reside in lush forests with ancient trees, where they act as guardians of the forest and its inhabitants. They are solitary Pokemon, and only appear when peace and balance are at stake. Celebi has the ability to travel through time, which allows it to protect the forest from ecological threats throughout history."
"Treecko","252","Grass","","Wood Gecko Pokémon","0.5","5","Overgrow, Unburden","3","No","Treecko typically lives in dense forests, making its home within the trees and shrubbery. It is a solitary Pokemon and uses its tail to gauge humidity, allowing it to find the best habitats. Treecko is known for its calm demeanor and preference for remaining hidden, only engaging when necessary."
"Grovyle","253","Grass","","Wood Gecko Pokémon","0.9","21.6","Overgrow, Unburden","3","No","Grovyle resides in deep jungles, using its well-developed legs to leap from branch to branch. It is a solitary Pokemon that actively protects its territory from intruders. Grovyle's heightened sense of smell and agility make it an adept hunter of insect Pokemon."
"Sceptile","254","Grass","","Forest Pokémon","1.7","52.2","Overgrow, Unburden","3","No","Sceptile make their homes in lush rainforests, using the trees as a vantage point for observation. They are solitary creatures that live peacefully among the dense foliage. Sceptile has a strong connection with the forest, drawing strength from it and acting as a protector of the environment."
"Torchic","255","Fire","","Chick Pokémon","0.4","2.5","Blaze, Speed-boost","3","No","Torchic typically inhabits grassy fields near forested areas. They are social and tend to follow their Trainer closely, seeking warmth and protection. Torchic have a small flame sac inside their bodies that keeps them constantly warm, often snuggling close to people and Pokemon."
"Combusken","256","Fire","Fighting","Young Fowl Pokémon","0.9","19.5","Blaze, Speed-boost","3","No","Combusken typically inhabits grasslands and forests, often near volcanic areas due to its affinity for fire. They are solitary creatures and feed on insects and berries. Their personality is often described as competitive and eager to train."
"Blaziken","257","Fire","Fighting","Blaze Pokémon","1.9","52","Blaze, Speed-boost","3","No","Blaziken lives in mountainous regions and forests, often seeking out warmer climates. They are solitary Pokémon with a diet consisting of meat and nuts. They are known for their bravery and fighting spirit."
"Mudkip","258","Water","","Mud Fish Pokémon","0.4","7.6","Torrent, Damp","3","No","Mudkip lives in swamps and wetlands, preferring damp environments. They are group-living Pokémon, often seen in small schools. They consume aquatic plants and small insects, and have a gentle and playful personality."
"Marshtomp","259","Water","Ground","Mud Fish Pokémon","0.7","28","Torrent, Damp","3","No","Marshtomp resides in swamps and muddy areas. They are solitary, often found patrolling their territory. Their diet consists of fish and crustaceans. They are known to be cautious and observant."
"Swampert","260","Water","Ground","Mud Fish Pokémon","1.5","81.9","Torrent, Damp","3","No","Swampert can be found near coastlines and beaches, constructing nests in sandy areas. They are solitary leaders, protecting their territory. Swampert consume seaweed and shellfish. They are very protective and calm."
"Poochyena","261","Dark","","Bite Pokémon","0.5","13.6","Run-away, Quick-feet, Rattled","3","No","Poochyena inhabits grassy plains and forests, often forming small packs. Their diet primarily consists of small rodents and berries. They display a cowardly yet mischievous behavior."
"Mightyena","262","Dark","","Bite Pokémon","1","37","Intimidate, Quick-feet, Moxie","3","No","Mightyena lives in plains and savannas, commanding their territory. They are pack-living, establishing a strict hierarchy. Mightyena feed on larger prey like Tauros, showing an intimidating and loyal personality."
"Zigzagoon","263","Normal","","Tiny Raccoon Pokémon","0.4","17.5","Pickup, Gluttony, Quick-feet","3","No","Zigzagoon populates forests and grassy areas, foraging for food. They often travel in small groups, playfully meandering. Their diet includes nuts and berries. They are known to be curious and carefree."
"Linoone","264","Normal","","Rushing Pokémon","0.5","32.5","Pickup, Gluttony, Quick-feet","3","No","Linoone dwells in open fields and roadways. They live in small packs and are incredibly fast. They eat scraps and small berries, known to be impulsive and competitive."
"Wurmple","265","Bug","","Worm Pokémon","0.3","3.6","Shield-dust, Run-away","3","No","Wurmple lives in forests and wooded areas. They are solitary Pokémon that feed on leaves. They are defenseless but often hungry."
"Silcoon","266","Bug","","Cocoon Pokémon","0.6","10","Shed-skin","3","No","Silcoon lives in forests, wrapped around tree branches. They are solitary creatures during this transformation. Silcoon sustain themselves using nutrients stored inside, showcasing patience."
"Beautifly","267","Bug","Flying","Butterfly Pokémon","1","28.4","Swarm, Rivalry","3","No","Beautifly dwells in flower gardens and meadows. They are group-living, fluttering from flower to flower. They feed on pollen and nectar, known for their colorful wings."
"Cascoon","268","Bug","","Cocoon Pokémon","0.7","11.5","Shed-skin","3","No","Cascoon lives in forests, similar to Silcoon, clinging onto branches. They are solitary and reliant on internal resources for their metamorphosis. Cascoon exhibit stillness and vulnerability."
"Dustox","269","Bug","Poison","Poison Moth Pokémon","1.2","31.6","Shield-dust, Compound-eyes","3","No","Dustox inhabits forests and swamps, seeking out dim areas. They are solitary, flying during nighttime. Dustox feed on tree sap, demonstrating a mysterious nature."
"Lotad","270","Water","Grass","Water Weed Pokémon","0.5","2.6","Swift-swim, Rain-dish, Own-tempo","3","No","Lotad thrives in ponds and lakes, often found floating on the water's surface. They are group-living and coexist harmoniously. They eat aquatic plants and decaying vegetation, known for their cheerful disposition."
"Lombre","271","Water","Grass","Jolly Pokémon","1.2","32.5","Swift-swim, Rain-dish, Own-tempo","3","No","Lombre typically inhabits freshwater ponds and rivers. It is a social Pokémon, often found in groups, and is known for its jolly and playful nature. They primarily feed on aquatic plants and algae."
