Name,Name Reason,Must Have Ingredient,Ingredients,Instructions,Cooking Time,Cuisine,Meal,Difficulty Level,Image
Desert Bloom Lentil Stew,"This name draws on the Middle Eastern landscape ('Desert Bloom') and identifies the main ingredient (Lentil Stew), suggesting a hearty, flavorful dish with earthy notes, inspired by the robust flavor of oregano.",Oregano,"[""Oregano"",""Lentils"",""Onion"",""Garlic"",""Carrots"",""Celery"",""Tomato paste"",""Vegetable broth"",""Lemon juice"",""Olive oil"",""Salt"",""Pepper""]","[""Heat olive oil in a large pot over medium heat."",""Add chopped onion, carrots, and celery and sauté until softened, about 5-7 minutes."",""Stir in minced garlic and oregano and cook for 1 minute until fragrant."",""Add tomato paste and cook for another 2 minutes."",""Rinse lentils and add them to the pot."",""Pour in vegetable broth, ensuring lentils are covered."",""Bring to a boil, then reduce heat, cover, and simmer for 30-40 minutes, or until lentils are tender."",""Season with salt and pepper to taste."",""Stir in fresh lemon juice before serving.""]",50,Middle Eastern,Lunch,2,https://yiling.sirv.com/UkLWZg/bnnZn4-msx3nO-1745462308.png
Adobe Dust Tacos,"The name ""Adobe Dust"" evokes the earthy, reddish color of paprika, which is a key ingredient, combined with the warm, traditional feel of Mexican adobe houses, fitting the theme of classic tacos.",Paprika,"[""Paprika"",""Ground meat (beef or chicken)"",""Onion"",""Garlic"",""Diced tomatoes"",""Bell peppers"",""Corn (optional)"",""Chili powder"",""Cumin"",""Salt"",""Oil"",""Taco shells or tortillas""]","[""Heat oil in a large skillet over medium heat."",""Add diced onion and cook until softened."",""Add ground meat (if using) and brown, breaking it up with a spoon."",""Stir in minced garlic and cook for 1 minute until fragrant."",""Add chopped tomatoes, bell peppers, and corn (if using)."",""Stir in paprika, cumin, chili powder, and salt to taste."",""Add a splash of water or broth, bring to a simmer."",""Let simmer for 15-20 minutes, stirring occasionally."",""Serve the filling in warm taco shells or tortillas."",""Top with desired garnishes like cheese, lettuce, salsa, or sour cream.""]",35,Mexican,Lunch,2,https://yiling.sirv.com/UkLWZg/UkKLWZ-msx3nO-1745462313.png
Prairie Fire Chili,"The name ""Prairie Fire"" suggests a warming, hearty, and slightly spicy American dish, evoking the vast open landscapes of the prairie and the subtle heat provided by spices like cumin.",Cumin,"[""Cumin"",""Ground beef or turkey"",""Onion"",""Bell peppers"",""Celery"",""Garlic"",""Crushed tomatoes"",""Kidney beans"",""Diced tomatoes"",""Chili powder"",""Paprika"",""Salt"",""Bay leaf"",""Broth or water"",""Oil""]","[""Heat a large pot or Dutch oven over medium heat."",""Add oil and brown ground beef or turkey."",""Drain excess fat."",""Add chopped onion, bell peppers, and celery; cook until softened."",""Stir in minced garlic and cook for 1 minute."",""Add crushed tomatoes, kidney beans, and diced tomatoes."",""Stir in cumin, chili powder, paprika, and salt."",""Add a bay leaf and a splash of broth or water."",""Bring to a simmer, then reduce heat and cover."",""Simmer for at least 30-60 minutes, stirring occasionally, to allow flavors to meld."",""Remove bay leaf before serving."",""Serve hot, garnished with cheese, sour cream, or cornbread.""]",75,American,Lunch,3,https://yiling.sirv.com/UkLWZg/gXZHJd-msx3nO-1745462317.png
Golden Jade Pudding,"""Golden"" refers to the bright yellow color of the corn, a key ingredient. ""Jade"" is a precious stone deeply significant in Chinese culture, adding an element of elegance and tradition. ""Pudding"" clearly describes the dessert form.",Corn,"[""Corn kernels"",""Milk"",""Sugar"",""Salt"",""Cornstarch"",""Vanilla extract""]","[""Combine corn kernels, milk, sugar, and a pinch of salt in a saucepan."",""Heat over medium heat, stirring occasionally, until the sugar dissolves."",""In a small bowl, whisk together cornstarch and a little cold milk or water until smooth."",""Pour the cornstarch mixture into the saucepan, stirring constantly."",""Bring the mixture to a gentle simmer, stirring until it thickens to a pudding consistency."",""Remove from heat and stir in vanilla extract."",""Pour the pudding into individual serving dishes."",""Chill in the refrigerator for at least 2 hours before serving."",""Garnish with extra corn kernels or a sprinkle of cinnamon if desired.""]",30,Chinese,Desserts,1,https://yiling.sirv.com/UkLWZg/Ej9hxL-msx3nO-1745462322.png
Golden Iberian Drops,"The name references the golden color of the fried potatoes and 'Iberian' points to the Spanish origin. 'Drops' describes the small, rustic shape.",Potatoes,"[""Potatoes"",""Olive oil"",""Garlic"",""Paprika"",""Salt""]","[""Peel and quarter the potatoes."",""Heat a generous amount of olive oil in a large pan over medium heat."",""Add the potato quarters and fry until golden brown and tender, turning occasionally."",""Remove potatoes from the pan and drain excess oil."",""In the same pan, add a little fresh olive oil and sauté minced garlic until fragrant."",""Return the potatoes to the pan."",""Sprinkle with paprika and salt to taste."",""Toss gently to coat the potatoes evenly."",""Serve hot.""]",40,Spanish,Dinner,2,https://yiling.sirv.com/UkLWZg/VZ3XmZ-msx3nO-1745462326.png
Crimson Southern Jewels,"'Crimson' refers to the deep red color of the tomatoes. 'Southern' indicates the Soul Food origin, and 'Jewels' suggests their small, precious size as appetizers.",Tomato,"[""Cherry tomatoes"",""All-purpose flour"",""Cornmeal"",""Salt"",""Black pepper"",""Cayenne pepper"",""Paprika"",""Garlic powder"",""Vegetable oil for frying""]","[""Rinse cherry tomatoes and pat dry."",""Prepare a dredging station with one bowl for a flour mixture (flour, salt, pepper, cayenne) and another bowl for a cornmeal mixture (cornmeal, paprika, garlic powder)."",""Dip each cherry tomato first in the flour mixture, shaking off excess."",""Then coat the tomato in the cornmeal mixture, pressing gently to adhere."",""Heat oil in a skillet over medium-high heat."",""Carefully drop coated tomatoes into the hot oil, frying in batches if necessary."",""Fry for 2-3 minutes, turning once, until golden brown and crispy."",""Remove with a slotted spoon and drain on paper towels."",""Serve immediately as appetizers.""]",20,Soul Food,Appetizers,2,https://yiling.sirv.com/UkLWZg/uEf2YK-msx3nO-1745462331.png
Dragon's Breath Stir-fry,"'Dragon's Breath' vividly portrays the intense garlic flavor, common in this type of Vietnamese dish. 'Stir-fry' describes the cooking method.",Garlic,"[""Garlic"",""Ginger"",""Rice noodles or egg noodles"",""Vegetable oil"",""Chicken breast or firm tofu"",""Broccoli florets"",""Carrots"",""Bell peppers"",""Soy sauce"",""Fish sauce"",""Sugar"",""Water or broth""]","[""Cook noodles according to package directions, then drain and set aside."",""Heat oil in a large wok or skillet over high heat."",""Add minced garlic and sliced ginger, stir-fry until fragrant (about 30 seconds)."",""Add sliced protein (chicken/tofu) and stir-fry until cooked through."",""Add chopped vegetables (broccoli, carrots, bell peppers) and stir-fry until tender-crisp."",""In a small bowl, whisk together soy sauce, fish sauce, a pinch of sugar, and a splash of water or broth."",""Add the cooked noodles and the sauce mixture to the wok."",""Toss everything together until well combined and heated through."",""Serve hot, optionally garnished with fresh cilantro or chili slices.""]",30,Vietnamese,Dinner,3,https://yiling.sirv.com/UkLWZg/OtvJLh-msx3nO-1745462335.png
Siam Sunset Curry,"The name evokes the warm, vibrant colours and aromatic spices of a Thai curry, reminiscent of a sunset over the Siamese landscape, incorporating the key ingredient, cinnamon.",Cinnamon,"[""Coconut oil"",""Red curry paste"",""Cinnamon stick"",""Chicken or vegetables"",""Coconut milk"",""Chicken broth"",""Fish sauce"",""Sugar"",""Lime juice"",""Bell peppers"",""Bamboo shoots"",""Thai basil"",""Jasmine rice""]","[""Heat coconut oil in a large pot over medium heat."",""Add red curry paste and cinnamon stick, stir for 1 minute until fragrant."",""Add sliced chicken or vegetables and cook until browned."",""Pour in coconut milk and chicken broth, bring to a simmer."",""Add fish sauce, sugar, and lime juice to taste."",""Stir in vegetables like bell peppers, bamboo shoots, and Thai basil."",""Simmer until vegetables are tender."",""Serve hot with jasmine rice.""]",35,Thai,Dinner,3,https://yiling.sirv.com/UkLWZg/ARbs1i-msx3nO-1745462340.png
Andean Cloud Pork,"This name suggests the dish's origin in the Andean region of Peru and hints at the tender, melt-in-your-mouth texture of the slow-cooked pork, like soft clouds.",Pork,"[""Pork shoulder"",""Aji amarillo paste"",""Garlic"",""Cumin"",""Salt"",""Oil"",""Onion"",""Bell pepper"",""Tomatoes"",""Chicken broth or water"",""Bay leaf"",""Oregano"",""Rice"",""Beans""]","[""Marinate pork shoulder cubes in a mixture of aji amarillo paste, garlic, cumin, and salt for at least 2 hours."",""Heat oil in a pot and brown the marinated pork on all sides."",""Add chopped onion, bell pepper, and tomatoes to the pot and cook until softened."",""Pour in chicken broth or water, enough to cover the pork."",""Add bay leaf and oregano."",""Bring to a simmer, then reduce heat, cover, and cook for 1.5 to 2 hours, or until pork is very tender."",""Remove pork from the pot and shred."",""Reduce the sauce if necessary, or thicken with a little cornstarch slurry."",""Return shredded pork to the sauce and stir to coat."",""Serve hot, traditionally with rice and beans.""]",120,Peruvian,Lunch,4,https://yiling.sirv.com/UkLWZg/p5gklV-msx3nO-1745462350.png
Azure Coast Delight,"The name conjures images of the beautiful blue Mediterranean coastline and suggests a sweet, pleasant dessert experience, highlighting the use of sugar.",Sugar,"[""Flour"",""Baking powder"",""Salt"",""Butter"",""Sugar"",""Eggs"",""Vanilla extract"",""Milk""]","[""Preheat oven to 180°C (350°F). Grease and flour a baking dish."",""In a bowl, whisk together flour, baking powder, and salt."",""In another bowl, cream butter and sugar until light and fluffy."",""Beat in eggs one at a time, then stir in vanilla extract."",""Gradually add the dry ingredients to the wet ingredients, alternating with milk, beginning and ending with dry."",""Pour batter into the prepared baking dish."",""Bake for 25-30 minutes, or until a toothpick inserted into the center comes out clean."",""Let cool slightly before serving.""]",45,Mediterranean,Desserts,2,https://yiling.sirv.com/UkLWZg/nWaqfP-msx3nO-1745462354.png
Abyssinian Cheese Cloud,"The name evokes the light, fluffy texture often found in Ethiopian cheese dishes and the ancient name for the region, Abyssinia.",Cheese,"[""Ethiopian cheese (Ayib)"",""Onion"",""Garlic"",""Ginger"",""Berbere or Turmeric"",""Oil"",""Salt"",""Water or milk""]","[""Crumble the cheese into small pieces."",""In a pan, heat some oil and add finely chopped onions. Sauté until golden."",""Add minced garlic and ginger, cook for another minute."",""Stir in spices like berbere or turmeric and a pinch of salt."",""Add the crumbled cheese and a splash of water or milk."",""Simmer gently until the cheese is heated through and slightly softened, creating a 'cloud-like' texture."",""Serve hot, traditionally with injera.""]",25,Ethiopian,Dinner,2,https://yiling.sirv.com/UkLWZg/9URFqg-msx3nO-1745462360.png
Spice Route Lentils,"This name highlights the key ingredient (lentils) and the rich history of spices in Indian cuisine, suggesting a journey of flavors.",Cumin,"[""Red or yellow lentils (Masoor Dal or Toor Dal)"",""Water"",""Cumin seeds"",""Onion"",""Garlic"",""Ginger"",""Green chilies (optional)"",""Tomato (optional)"",""Turmeric powder"",""Red chili powder (optional)"",""Garam masala"",""Oil or Ghee"",""Salt"",""Fresh coriander leaves""]","[""Rinse the lentils thoroughly under cold water."",""In a pot, combine lentils, water, turmeric powder, and a pinch of salt."",""Bring to a boil, then reduce heat and simmer until lentils are soft and cooked through, about 20-30 minutes."",""While lentils are cooking, prepare the tempering (tarka). Heat oil or ghee in a small pan."",""Add cumin seeds and let them splutter."",""Add finely chopped onion and sauté until light golden brown."",""Stir in minced garlic, ginger, and green chilies (if using). Cook for a minute."",""Add tomato (if using) and cook until softened."",""Stir in red chili powder (optional) and garam masala."",""Pour the hot tempering mixture over the cooked lentils."",""Mix well and simmer for another 5 minutes to allow flavors to meld."",""Garnish with fresh coriander leaves."",""Serve hot with rice or roti.""]",40,Indian,Lunch,3,https://yiling.sirv.com/UkLWZg/xiBoCp-msx3nO-1745462365.png
Seoul Almond Serenade,"The name combines the capital of Korea with 'Almond', highlighting the required ingredient, and 'Serenade' suggests a harmonious and delightful culinary experience.",Almonds,"[""Almonds"",""Honey or syrup (for sweet)"",""Sesame seeds (for sweet)"",""Soy sauce (for savory)"",""Garlic (for savory)"",""Ginger (for savory)"",""Vegetables (for savory stir-fry)""]","[""Blanch the almonds if they are not already blanched."",""Toast the blanched almonds lightly in a dry pan or oven until fragrant and slightly golden."",""Let the almonds cool completely."",""Depending on the recipe (e.g., a sweet snack or a savory dish component), proceed accordingly."",""For a sweet snack: Toss the cooled almonds with a mixture of honey or syrup and sesame seeds."",""For a savory dish: Crush or slice the almonds. Add them to a stir-fry or salad towards the end of cooking or assembly."",""Ensure almonds retain their crunch.""]",15,Korean,Lunch,1,https://yiling.sirv.com/UkLWZg/vohmzD-msx3nO-1745462370.png
Harar Spice Kiss,"The name evokes the Ethiopian region of Harar, known for its spices, combined with 'Spice Kiss' to suggest a sweet, subtly spiced dessert with black pepper providing a unique 'kiss' of flavor.",Black Pepper,"[""Teff Flour"",""Sugar"",""Baking Powder"",""Salt"",""Unsalted Butter, melted"",""Honey"",""Eggs"",""Milk"",""Finely Ground Black Pepper"",""Cardamom (optional)"",""Cinnamon (optional)""]","[""In a bowl, whisk together teff flour, sugar, baking powder, and salt."",""In a separate bowl, whisk together melted butter, honey, eggs, and milk."",""Add the wet ingredients to the dry ingredients and mix until just combined."",""Stir in the finely ground black pepper and any other spices."",""Pour the batter into a greased baking dish."",""Bake at 350°F (175°C) for 25-30 minutes, or until a toothpick inserted into the center comes out clean."",""Let cool slightly before serving.""]",40,Ethiopian,Desserts,3,https://yiling.sirv.com/UkLWZg/2h5Y5X-msx3nO-1745462374.png
Brittany Baking Whisper,"Refers to the Brittany region of France, known for its baked goods, and 'Baking Whisper' hints at the subtle but essential role of baking soda in achieving a delicate texture in this savory dish.",Baking Soda,"[""All-Purpose Flour"",""Salt"",""Baking Soda"",""Cold Unsalted Butter, cubed"",""Ice Water"",""Eggs"",""Heavy Cream"",""Leeks or Onions"",""Optional Vegetables (spinach, mushrooms)"",""Gruyère Cheese, shredded"",""Black Pepper""]","[""Preheat oven to 375°F (190°C)."",""Prepare the pastry dough: In a large bowl, mix flour, salt, and baking soda."",""Cut in cold butter until mixture resembles coarse crumbs."",""Gradually add ice water, mixing until dough just comes together."",""Chill dough for 30 minutes."",""Roll out dough and press into a tart pan."",""Blind bake crust for 15 minutes."",""While crust bakes, sauté leeks or onions and desired vegetables in a pan."",""In a bowl, whisk together eggs, cream, salt, pepper, and cheese."",""Add sautéed vegetables to the baked crust."",""Pour egg mixture over vegetables."",""Bake for 30-35 minutes, or until set and golden brown.""]",75,French,Dinner,4,https://yiling.sirv.com/UkLWZg/HbJVtl-msx3nO-1745462379.png
Island Umami Breeze,"Combines the tropical feel of the Caribbean islands with 'Umami Breeze' to highlight the savory depth provided by the soy sauce, suggesting a light yet flavorful dish.",Soy Sauce,"[""Chicken or Fish"",""Soy Sauce"",""Fresh Ginger, grated"",""Garlic, minced"",""Brown Sugar"",""Vegetable Oil"",""Bell Peppers, chopped"",""Onion, chopped"",""Other Vegetables (broccoli, carrots)"",""Chicken or Vegetable Broth"",""Cornstarch""]","[""Marinate chicken or fish pieces in soy sauce, ginger, garlic, and a pinch of brown sugar for at least 30 minutes."",""Heat oil in a large skillet or wok over medium-high heat."",""Add marinated protein and cook until browned and cooked through."",""Remove protein and set aside."",""Add chopped bell peppers, onions, and other vegetables to the skillet."",""Sauté until vegetables are tender-crisp."",""Return the cooked protein to the skillet."",""Add a splash more soy sauce, some chicken or vegetable broth, and a cornstarch slurry to thicken."",""Simmer for a few minutes until sauce is glossy."",""Serve hot, perhaps over rice or with plantains.""]",30,Caribbean,Dinner,2,https://yiling.sirv.com/UkLWZg/eH46l8-msx3nO-1745462384.png
Aegean Cloud Delight,"This name evokes the light, creamy texture of the yogurt dish, like a cloud, and references the traditional cuisine of the Greek islands in the Aegean Sea.",Yogurt,"[""Greek Yogurt"",""Cucumber"",""Garlic"",""Olive Oil"",""Fresh Mint"",""Lemon Juice"",""Salt"",""Pepper""]","[""Peel and seed cucumber, then finely grate."",""Place grated cucumber in a sieve and press out excess water."",""Combine cucumber, Greek yogurt, minced garlic, olive oil, chopped fresh mint, lemon juice, salt, and pepper in a bowl."",""Stir well to combine."",""Chill in the refrigerator for at least 30 minutes before serving to allow flavors to meld.""]",15,Mediterranean,Lunch,1,https://yiling.sirv.com/UkLWZg/se78ja-msx3nO-1745462389.png
Tuscan Sunset Glaze,"The name suggests the beautiful golden-brown color of the pork when glazed with honey, reminiscent of a Tuscan sunset, and highlights the regional influence.",Honey,"[""Pork Tenderloin"",""Honey"",""Olive Oil"",""Garlic"",""Fresh Rosemary"",""White Wine"",""Salt"",""Pepper""]","[""Preheat oven to 400°F (200°C)."",""Season pork tenderloin generously with salt and pepper."",""Heat olive oil in an oven-safe skillet over medium-high heat."",""Sear pork tenderloin on all sides until browned."",""Reduce heat, add minced garlic and fresh rosemary to the skillet, cook for 1 minute until fragrant."",""Pour in white wine and honey, stirring to combine and scrape up any browned bits."",""Transfer skillet to the preheated oven."",""Roast for 15-20 minutes, or until internal temperature of pork reaches 145°F (63°C)."",""Let pork rest for 5-10 minutes before slicing."",""Drizzle with the glaze from the skillet before serving.""]",30,Italian,Dinner,3,https://yiling.sirv.com/UkLWZg/GpMUcn-msx3nO-1745462393.png
Emerald Forest Bites,"This name emphasizes the vibrant green color of the broccoli ('Emerald') and presents the appetizer in small, appealing portions ('Bites'), suggesting a natural, fresh feel ('Forest').",Broccoli,"[""Broccoli"",""Soy Sauce"",""Rice Vinegar"",""Sesame Oil"",""Toasted Sesame Seeds"",""Sugar (optional)""]","[""Cut broccoli florets into bite-sized pieces."",""Bring a pot of water to a boil."",""Add broccoli florets and blanch for 2-3 minutes until tender-crisp."",""Immediately transfer broccoli to an ice bath to stop the cooking process and preserve color."",""Drain thoroughly."",""In a small bowl, whisk together soy sauce, rice vinegar, sesame oil, and a pinch of sugar (optional)."",""In a medium bowl, toss the blanched broccoli with the dressing."",""Garnish with toasted sesame seeds."",""Serve chilled or at room temperature as an appetizer.""]",10,Japanese,Appetizers,2,https://yiling.sirv.com/UkLWZg/RgJeNh-msx3nO-1745462398.png
Golden Horizon Tapas,"The name evokes the warm, sunny feel of Spain and the golden color of butter used in the tapas, while 'Tapas' correctly identifies the dish type suitable for lunch.",Butter,"[""Butter"",""crusty bread slices"",""garlic cloves"",""ripe tomatoes"",""sliced ham or cheese (optional)"",""olive oil"",""salt"",""black pepper""]","[""Slice the crusty bread into bite-sized pieces."",""Rub the garlic cloves over the bread slices."",""Finely grate or mash the ripe tomatoes and spread onto the bread."",""Add a small pat of butter to a pan and heat over medium heat."",""Briefly toast the bread slices in the melted butter until golden brown."",""Season with salt and pepper."",""Top with sliced ham, cheese, or other desired toppings."",""Serve immediately.""]",30,Spanish,Lunch,2,https://yiling.sirv.com/UkLWZg/LKWpHO-msx3nO-1745462403.png
Spice Route Twilight Treat,"Refers to the historic trade routes connecting the Middle East, suggesting a blend of exotic flavors, and 'Twilight Treat' positions it as a delightful dessert enjoyed in the evening.",Oregano,"[""phyllo dough"",""melted butter or ghee"",""chopped nuts (walnuts, pistachios)"",""sugar"",""water"",""lemon juice"",""dried oregano"",""cinnamon"",""cardamom""]","[""Prepare a simple syrup by boiling sugar and water. Add a squeeze of lemon juice and a pinch of dried oregano, then let it cool."",""Layer sheets of phyllo dough, brushing each layer with melted butter or ghee."",""Spread a filling of chopped nuts mixed with cinnamon and cardamom between the layers."",""Cut the layered dough into desired shapes (squares or diamonds)."",""Bake in a preheated oven until golden brown and crispy."",""Pour the cooled oregano-infused syrup over the hot pastry."",""Allow to soak before serving.""]",50,Middle Eastern,Desserts,3,https://yiling.sirv.com/UkLWZg/PcANMc-msx3nO-1745462407.png
Himalayan Herb Delight,"Combines the exotic allure of the Himalayan region with the unique addition of rosemary, highlighting the unexpected herb in a sweet context.",Rosemary,"[""milk"",""sugar"",""rice or semolina"",""ghee"",""cardamom pods"",""saffron strands"",""chopped nuts (almonds, cashews)"",""fresh rosemary sprig""]","[""Heat milk in a heavy-bottomed pan with a sprig of fresh rosemary until it simmers. Remove rosemary and discard."",""Add sugar and stir until dissolved."",""Gradually add rice or semolina, stirring continuously to prevent lumps."",""Cook on low heat until the mixture thickens, stirring occasionally."",""Add ghee, crushed cardamom pods, and saffron strands (soaked in a little warm milk)."",""Continue to cook until the dessert reaches desired consistency."",""Stir in chopped nuts."",""Serve warm or chilled, garnished with more nuts.""]",45,Indian,Desserts,3,https://yiling.sirv.com/UkLWZg/CvFSrJ-msx3nO-1745463210.png
Bayou Nutmeg Blues,"This name combines elements of American Southern culture (Bayou, Blues) with the key ingredient (Nutmeg), suggesting a soulful, comforting dish with a unique spicy twist.",Nutmeg,"[""Nutmeg"",""Chicken breast or thighs"",""Grits"",""Chicken broth"",""Onion"",""Garlic"",""Butter"",""Cheddar cheese"",""Dried thyme"",""Salt"",""Pepper"",""Fresh parsley (optional)""]","[""In a medium saucepan, bring 2 cups of water or broth to a boil. Stir in 1/2 cup of grits, reduce heat to low, cover, and simmer according to package directions, stirring occasionally, until thick and creamy. Season with salt and pepper."",""While grits are cooking, melt 2 tablespoons of butter in a skillet over medium heat. Add 1 chopped onion and 2 minced garlic cloves; cook until softened, about 5-7 minutes."",""Cut 1 lb of chicken breast or thighs into bite-sized pieces. Add chicken to the skillet and cook until browned on all sides."",""Pour in 1 cup of chicken broth. Stir in 1 teaspoon of ground nutmeg, 1 teaspoon of dried thyme, salt, and pepper to taste. Bring to a simmer, then reduce heat and let cook for 10-15 minutes, or until chicken is cooked through and sauce has slightly reduced."",""Once grits are cooked, stir in 1/4 cup of grated cheddar cheese until melted."",""Serve the nutmeg chicken mixture spooned over the cheesy grits. Garnish with fresh parsley if desired.""]",40,American,Lunch,2,https://yiling.sirv.com/UkLWZg/YBVETx-msx3nO-1745462427.png
Amazonian Ember Bites,"The name evokes the region of Brazil (Amazonian) and suggests small, fiery (Ember) appetizers, hinting at the warmth and flavor of the dish which features onion and carne seca.",Onion,"[""Onion"",""Aipim (Cassava/Manioc)"",""Carne seca (Dried beef)"",""Butter"",""Garlic"",""Fresh parsley"",""Salt"",""Pepper"",""Oil for frying"",""Lime wedges (optional, for serving)""]","[""Peel and cut 1 kg of aipim (cassava/manioc) into chunks. Place in a large pot, cover with water, and add a pinch of salt. Bring to a boil and cook until very tender, about 20-30 minutes. Drain and set aside."",""While the aipim is cooking, shred 500g of pre-cooked, dried carne seca (jerky). If using raw carne seca, soak it to remove excess salt, cook until tender, then shred."",""Melt 2 tablespoons of butter in a large skillet over medium heat. Add 2 large chopped onions and 3 minced garlic cloves; cook until softened and fragrant, about 7-10 minutes."",""Add the shredded carne seca to the skillet with the onion and garlic. Cook for 5-7 minutes, stirring, until heated through and slightly browned. Season with salt and pepper to taste (be mindful of the saltiness of the carne seca). Stir in 1/4 cup of chopped fresh parsley."",""Mash the cooked aipim until smooth. You can use a potato masher or a food processor. Add 2 tablespoons of butter to the hot mashed aipim and mix well."",""Combine the mashed aipim and the carne seca mixture in a bowl. Mix thoroughly until well combined."",""Allow the mixture to cool slightly. Form small, bite-sized balls or croquettes from the mixture."",""Heat oil for frying in a deep pot or fryer to 180°C (350°F). Carefully fry the aipim and carne seca bites in batches until golden brown and crispy on all sides. Drain on paper towels."",""Serve hot as an appetizer, often with a side of lime wedges or a spicy sauce.""]",55,Brazilian,Appetizers,3,https://yiling.sirv.com/UkLWZg/5sJQZn-msx3nO-1745462433.png
Aegean Whisper Fungi,"This poetic name combines a reference to the Greek sea (Aegean) with the key ingredient (Fungi), suggesting a delicate, sweet creation that is unexpected and unique.",Mushrooms,"[""Mushrooms"",""Honey"",""Butter"",""Sugar"",""Ground cinnamon"",""Chopped walnuts"",""Ground cloves (optional)"",""Greek yogurt or vanilla ice cream (for serving)""]","[""Clean and slice 500g of mushrooms (such as cremini or buttons)."",""Melt 3 tablespoons of butter in a skillet over medium heat. Add the sliced mushrooms and cook, stirring occasionally, until they release their moisture and start to brown, about 8-10 minutes."",""Stir in 1/2 cup of honey, 1/4 cup of sugar, 1 teaspoon of ground cinnamon, and a pinch of ground cloves (optional)."",""Reduce the heat to low and simmer gently, stirring frequently, for another 10-15 minutes, or until the mushrooms are tender and coated in a thick, syrupy glaze."",""Remove from heat and stir in 1/4 cup of chopped walnuts."",""Serve the warm mushroom dessert over Greek yogurt, vanilla ice cream, or alongside a piece of filo pastry.""]",25,Greek,Desserts,3,https://yiling.sirv.com/UkLWZg/FLTGX8-msx3nO-1745462437.png
Midnight Mole Whispers,"The name suggests a rich, earthy, and subtly spicy flavor profile, like a shadow cast by the mole sauce which is central to the dish, often featuring peanuts.",Peanuts,"[""Peanuts"",""Chicken thighs"",""Ancho chilies"",""Garlic"",""Onion"",""Tomatoes"",""Chicken broth"",""Tortillas"",""Cilantro"",""Salt"",""Pepper"",""Oil""]","[""Toast peanuts lightly and set aside."",""Rehydrate ancho chilies in hot water, then seed and stem them."",""Sauté chopped onion and garlic in oil until softened."",""Add chopped tomatoes and cook until they break down."",""Blend rehydrated chilies, sautéed vegetables, peanuts, and chicken broth until smooth."",""Simmer the sauce, seasoning with salt and pepper."",""Sear chicken thighs until browned, then add to the sauce and cook until tender."",""Serve chicken and mole sauce with warm tortillas and fresh cilantro."",""Optionally, serve with rice or beans.""]",75,Mexican,Dinner,3,https://yiling.sirv.com/UkLWZg/kQJKT9-msx3nO-1745462441.png
Andean Pepper Symphony,"This name evokes the vibrant colors and fresh, lively flavors typical of Peruvian ingredients, especially the crispness of bell peppers and the freshness of lime and cilantro.",Bell Pepper,"[""Bell pepper (various colors)"",""Quinoa"",""Corn kernels"",""Black beans"",""Red onion"",""Cilantro"",""Lime juice"",""Olive oil"",""Cumin"",""Salt"",""Pepper"",""Avocado""]","[""Cook quinoa according to package instructions and let it cool."",""Dice bell peppers and red onion finely."",""In a bowl, combine cooked quinoa, diced bell peppers, red onion, corn, and black beans."",""Chop fresh cilantro and add to the bowl."",""In a separate small bowl, whisk together lime juice, olive oil, cumin, salt, and pepper to make the dressing."",""Pour the dressing over the quinoa mixture and toss gently to combine."",""Cube avocado and gently fold into the salad just before serving."",""Serve chilled as an appetizer.""]",25,Peruvian,Appetizers,2,https://yiling.sirv.com/UkLWZg/3T2WpP-msx3nO-1745462446.png
Velvet Vinegar Secret,"This name hints at a classic Southern dessert (often using vinegar) that feels comforting and slightly mysterious, perfect for a sweet treat rooted in tradition with a twist.",Vinegar,"[""All-purpose flour"",""Cocoa powder"",""Baking soda"",""Salt"",""Sugar"",""Vegetable oil"",""Buttermilk"",""Eggs"",""Vanilla extract"",""White vinegar"",""Red food coloring (optional)"",""Cream cheese"",""Butter (softened)"",""Powdered sugar""]","[""Preheat oven to 350°F (175°C). Grease and flour cake pans."",""In a medium bowl, whisk together flour, cocoa powder, baking soda, and salt."",""In a large bowl, whisk together sugar, oil, buttermilk, eggs, and vanilla extract."",""In a small bowl, mix vinegar and red food coloring (if using). Stir into the wet ingredients."",""Gradually add the dry ingredients to the wet ingredients, mixing until just combined. Do not overmix."",""Pour batter evenly into prepared pans."",""Bake for 30-35 minutes, or until a wooden skewer inserted into the center comes out clean."",""Let cakes cool in pans for 10 minutes before transferring to a wire rack to cool completely."",""For frosting, beat cream cheese and softened butter until smooth."",""Gradually add powdered sugar and vanilla extract, beating until light and fluffy."",""Once cakes are completely cool, frost as desired.""]",60,Soul Food,Desserts,3,https://yiling.sirv.com/UkLWZg/DzgPsx-msx3nO-1745462452.png
Golden Cloud Blossoms,"The name evokes the visual of fluffy, golden egg bites (like little clouds or blossoms) served as an appetizer.",Eggs,"[""Eggs"",""Fish sauce"",""Sugar"",""Lime juice"",""Vegetable oil"",""Fresh chili"",""Cilantro"",""Shallots""]","[""Beat eggs with fish sauce, sugar, and lime juice in a bowl."",""Heat vegetable oil in a small pan over medium heat."",""Pour in the egg mixture, allowing it to puff up slightly."",""Cook until golden brown on the bottom and set."",""Transfer to a plate."",""Garnish with sliced chili, fresh cilantro leaves, and thinly sliced shallots."",""Serve warm as an appetizer.""]",18,Thai,Appetizers,2,https://yiling.sirv.com/UkLWZg/ml8x3n-msx3nO-1745462456.png
